Código,Abreviatura,Nombre,Semestre,Obligatoria,Créditos,Enlace
31110018,med,Modelado estadístico de datos,1,TRUE,6,https://www.uned.es/universidad/inicio/estudios/masteres/master-universitario-en-ingenieria-y-ciencia-de-datos/asignaturas.html?codAsignatura=31110018&codTitulacion=311001
31110022,ped,Programación en entorno de datos,1,TRUE,4,https://www.uned.es/universidad/inicio/estudios/masteres/master-universitario-en-ingenieria-y-ciencia-de-datos/asignaturas.html?codAsignatura=31110022&codTitulacion=311001
31110037,aai,Aprendizaje automático I,1,TRUE,6,https://www.uned.es/universidad/inicio/estudios/masteres/master-universitario-en-ingenieria-y-ciencia-de-datos/asignaturas.html?codAsignatura=31110037&codTitulacion=311001
31110041,mt,Minería de textos,1,TRUE,4,https://www.uned.es/universidad/inicio/estudios/masteres/master-universitario-en-ingenieria-y-ciencia-de-datos/asignaturas.html?codAsignatura=31110041&codTitulacion=311001
31110056,icpdm,Infraestructuras computaciones para procesamiento de datos masivos,1,TRUE,6,https://www.uned.es/universidad/inicio/estudios/masteres/master-universitario-en-ingenieria-y-ciencia-de-datos/asignaturas.html?codAsignatura=31110056&codTitulacion=311001
31110060,vd,Visualización de datos,2,TRUE,4,https://www.uned.es/universidad/inicio/estudios/masteres/master-universitario-en-ingenieria-y-ciencia-de-datos/asignaturas.html?codAsignatura=31110060&codTitulacion=311001
3111008-,gaine,Gestión/almacenamiento de información no estructurada,2,TRUE,6,https://www.uned.es/universidad/inicio/estudios/masteres/master-universitario-en-ingenieria-y-ciencia-de-datos/asignaturas.html?codAsignatura=3111008-&codTitulacion=311001
31110094,mbj,Modelos bayesianos jerárquicos,2,FALSE,6,https://www.uned.es/universidad/inicio/estudios/masteres/master-universitario-en-ingenieria-y-ciencia-de-datos/asignaturas.html?codAsignatura=31110094&codTitulacion=311001
31110107,mdms,Minería de datos de los medios sociales,2,FALSE,4,https://www.uned.es/universidad/inicio/estudios/masteres/master-universitario-en-ingenieria-y-ciencia-de-datos/asignaturas.html?codAsignatura=31110107&codTitulacion=311001
31110111,dl,Deep learning,2,FALSE,4,https://www.uned.es/universidad/inicio/estudios/masteres/master-universitario-en-ingenieria-y-ciencia-de-datos/asignaturas.html?codAsignatura=31110111&codTitulacion=311001
31110126,sgd,Seguridad de la gestión de datos,2,FALSE,4,https://www.uned.es/universidad/inicio/estudios/masteres/master-universitario-en-ingenieria-y-ciencia-de-datos/asignaturas.html?codAsignatura=31110126&codTitulacion=311001
31110130,aaii,Aprendizaje automático II,2,TRUE,4,https://www.uned.es/universidad/inicio/estudios/masteres/master-universitario-en-ingenieria-y-ciencia-de-datos/asignaturas.html?codAsignatura=31110130&codTitulacion=311001
31110075,tfm,Trabajo de fin de máster en ingeniería y ciencia de datos,2,TRUE,12,https://www.uned.es/universidad/inicio/estudios/masteres/master-universitario-en-ingenieria-y-ciencia-de-datos/asignaturas.html?codAsignatura=31110075&codTitulacion=311001